date,actual_target,prediction,prediction_correct,actual_return_pct,strategy_return_pct,strategy_return_after_costs_pct,reasoning_balance_before,reasoning_balance_after,buy_hold_balance_before,buy_hold_balance_after
2025-03-07,-1,-1,True,-1.630629983478204,1.630629983478204,1.630629983478204,23135.172268699924,23512.42132444268,7678.433535576395,7553.226696083841
2025-03-08,-1,-1,True,-7.667591645976335,7.667591645976335,7.667591645976335,23512.42132444268,25315.257777682407,7553.226696083841,6974.076116933262
2025-03-09,-1,-1,True,-6.445745017399551,6.445745017399551,6.445745017399551,25315.257777682407,26947.01474452922,6974.076116933262,6524.544953116384
2025-03-10,1,-1,False,5.8922985882154055,-5.8922985882154055,-5.8922985882154055,26947.01474452922,25359.21617517113,6524.544953116384,6908.990623276341
2025-03-11,1,-1,False,1.053808079195262,-1.053808079195262,-1.053808079195262,25359.21617517113,25091.978706296584,6908.990623276341,6981.79812465527
2025-03-12,-1,-1,True,-2.5991467846421146,2.5991467846421146,2.5991467846421146,25091.978706296584,25744.156064044375,6981.79812465527,6800.330943188089
2025-03-13,1,-1,False,8.127179819936735,-8.127179819936735,-8.127179819936735,25744.156064044375,23651.882207594343,6800.330943188089,7353.006067291784
2025-03-14,1,1,True,1.9503413097291973,1.9503413097291973,1.9503413097291973,23651.882207594343,24113.174636817545,7353.006067291784,7496.41478212907
2025-03-15,-1,1,False,-7.298947833124858,-7.298947833124858,-7.298947833124858,24113.174636817545,22353.16659916594,7496.41478212907,6949.255377826808
2025-03-16,1,1,True,1.7223589173744007,1.7223589173744007,1.7223589173744007,22353.16659916594,22738.168357402228,6949.255377826808,7068.946497517929
2025-03-17,-1,1,False,-2.223782771535576,-2.223782771535576,-2.223782771535576,22738.168357402228,22232.520886907565,7068.946497517929,6911.748483177058
2025-03-18,1,1,True,8.187694517596356,8.187694517596356,8.187694517596356,22232.520886907565,24052.85178068836,6911.748483177058,7477.661334804196
2025-03-19,-1,1,False,-5.952644390351846,-5.952644390351846,-5.952644390351846,24052.85178068836,22621.07104844557,7477.661334804196,7032.542746828464
