Date,Open,High,Low,Close,Adj Close,Volume
2024-11-28,242.3,245.2,233.2,237.76,237.76,4047310070
2024-11-27,230.97,243.12,228.13,242.3,242.3,5381404312
2024-11-26,234.45,239.64,222.96,230.98,230.98,6996936265
2024-11-25,252.92,256.42,231.55,234.45,234.45,6616015635
2024-11-24,255.18,259.63,243.12,252.92,252.92,5330146683
2024-11-23,256.52,263.83,253.19,255.18,255.18,6234742858
2024-11-22,257.08,263.7,252.14,256.52,256.52,7249493783
2024-11-21,235.43,259.05,230.34,257.07,257.07,10735314060
2024-11-20,238.09,242.11,230.91,235.42,235.42,6454141445
2024-11-19,239.8,247.09,234.15,238.1,238.1,6711919414
2024-11-18,237.58,248.19,234.4,239.79,239.79,8798714213
2024-11-17,215.85,241.24,212.73,237.58,237.58,9981076722
2024-11-16,218.57,221.66,213.8,215.85,215.85,4698955745
2024-11-15,209.24,219.54,204.83,218.09,218.09,6109860311
2024-11-14,215.18,222.64,207.5,209.22,209.22,8094554275
2024-11-13,212.21,220.34,201.47,215.18,215.18,11296665808
2024-11-12,222.64,225.01,205.45,212.23,212.23,11308516682
2024-11-11,210.61,223.22,204.56,222.64,222.64,10290809023
2024-11-10,200.2,215.18,198.98,210.61,210.61,8564655765
2024-11-09,199.94,203.35,195.47,200.19,200.19,3363617004
2024-11-08,196.33,204.97,196.02,199.94,199.94,5673142495
2024-11-07,186.95,197.9,186.14,196.33,196.33,4700842780
2024-11-06,166.72,189.92,166.7,186.95,186.95,9822932731
2024-11-05,157.75,169.13,156.99,166.72,166.72,3243848057
2024-11-04,162.55,164.71,155.17,157.75,157.75,2809006700
2024-11-03,166.01,166.38,158.14,162.55,162.55,2645801646
2024-11-02,166.26,168.46,162.39,166.01,166.01,1618170398
2024-11-01,168.43,173.85,164.03,166.26,166.26,3157093060
2024-10-31,174.93,176.28,167.58,168.43,168.43,2652620406
2024-10-30,179.36,181.15,173.4,174.92,174.92,2772422773
2024-10-29,178.1,183.04,176.86,179.36,179.36,3919545873
2024-10-28,176.55,179.41,172.87,178.1,178.1,3623055701
2024-10-27,170.71,177.9,170.19,176.55,176.55,2427933420
2024-10-26,164.76,172.82,162.44,170.71,170.71,2755373492
2024-10-25,177.16,177.19,160.04,164.76,164.76,4869966180
2024-10-24,171.11,179.0,170.52,177.16,177.16,3529481044
2024-10-23,167.26,173.82,164.19,170.93,170.93,3861697575
2024-10-22,166.22,170.76,163.29,167.26,167.26,3470792372
2024-10-21,166.94,171.43,161.81,166.22,166.22,3924173188
2024-10-20,159.64,167.59,157.77,166.94,166.94,2579198899
2024-10-19,154.98,159.71,153.91,159.64,159.64,1440375026
2024-10-18,150.32,156.54,149.7,154.98,154.98,1754226839
2024-10-17,154.24,155.55,147.94,150.32,150.32,2157747733
2024-10-16,154.72,158.14,153.08,154.23,154.23,2397546608
2024-10-15,157.45,158.72,150.91,154.72,154.72,3451652506
2024-10-14,147.57,157.75,147.01,157.45,157.45,2929339176
2024-10-13,146.5,148.71,144.62,147.57,147.57,1294444111
2024-10-12,145.38,147.14,144.76,146.5,146.5,1118630507
2024-10-11,138.89,146.43,138.76,145.38,145.38,1797846253
2024-10-10,139.31,140.58,135.58,138.89,138.89,1770157917
2024-10-09,143.4,145.13,138.8,139.32,139.32,1697499287
2024-10-08,143.99,145.45,141.24,143.39,143.39,1710617951
2024-10-07,146.44,152.1,143.6,143.99,143.99,2678803498
2024-10-06,142.71,146.62,142.11,146.44,146.44,1168715645
